onset,duration,trial_type,LST_id,LST_id_orig,response_time,motor_onset,motor_duration,confidence_onset,confidence_duration,accuracy,motor_key,subject
349.30757997096225,5,Ternary,56,19,1.0699405704508536,355.552480593833,2,357.5729187983816,2,1.0,2,27
370.8975785007715,5,Quaternary,95,32,,377.175923191724,2,379.1963111678415,2,0.0,999,27
385.407821617373,5,Ternary,44,15,1.6736466952716,391.3856147854967,2,393.4058748074458,2,0.0,2,27
399.5173038282592,5,Binary,9,3,0.926737118541496,405.37820627548354,2,407.39852899131074,2,1.0,1,27
413.82705705268745,5,Quaternary,103,35,0.8133715534713701,419.6713166581394,2,421.6916357076552,2,0.0,3,27
428.5545179615874,5,Null,115,39,1.1471515654120594,434.7992961297423,2,436.8198091269878,2,1.0,3,27
442.7808278328666,5,Binary,17,6,1.263062281992461,449.0591248618002,2,451.07955866678094,2,1.0,3,27
457.558100678456,5,Null,125,42,1.49821968946344,463.869805845643,2,465.8903063774415,2,1.0,2,27
471.9348113322776,5,Ternary,67,23,0.8381426016567275,478.0294867887933,2,480.0497911730781,2,1.0,4,27
493.4580735111085,5,Null,132,44,0.5074514547959552,499.7362829152698,2,501.756746417348,2,1.0,2,27
507.8848127804668,5,Binary,22,8,0.9105283677272382,514.1129613055673,2,516.1333397492854,2,1.0,3,27
522.6455095111087,5,Quaternary,98,33,0.8212896803961485,528.4228776807286,2,530.4432916876467,2,1.0,1,27
536.521122288781,5,Null,119,40,0.696410072807339,542.298504757011,2,544.3190181208847,2,1.0,4,27
550.9145681753507,5,Ternary,71,24,,556.9424108569729,2,558.962659879995,2,0.0,999,27
565.3913690570262,5,Binary,16,6,1.537592178734485,571.2188457677112,2,573.2392168788137,2,0.0,1,27
579.317199998397,5,Quaternary,96,32,0.951291854515148,585.4118424581393,2,587.4321593078712,2,0.0,3,27
593.5434944711815,5,Ternary,61,21,0.6927503634506138,599.6380918353243,2,601.6585652364374,2,1.0,1,27
615.0167144691295,5,Quaternary,105,35,0.8327806251618313,621.0111537787088,2,623.0314302990446,2,0.0,1,27
629.2931702778296,5,Binary,24,8,0.945583045220701,635.5881589104392,2,637.6084992245451,2,1.0,1,27
644.1874295349844,5,Ternary,58,20,0.6467308564897394,650.2486972198822,2,652.2689858390368,2,1.0,1,27
658.5306909878927,5,Binary,21,7,0.8014564167824574,664.2746323210886,2,666.2949851006415,2,0.0,1,27
672.7403536178317,5,Null,140,47,0.6270002495220979,678.7347808285849,2,680.75525532959,2,1.0,1,27
687.3841625606146,5,Quaternary,99,33,0.8940589423582423,693.2115850099362,2,695.2320408127707,2,1.0,2,27
701.1763968788073,5,Ternary,66,22,0.6962883513551787,707.3710786047159,2,709.3915193756839,2,1.0,1,27
716.2710727019585,5,Null,133,45,1.2275559152694768,722.582637816151,2,724.603084453207,2,1.0,3,27
4.182592207274865,5,Quaternary,102,34,1.6481992131302832,10.293918571442193,2,12.314247153364704,2,0.0,3,27
18.492440022462688,5,Ternary,65,22,0.6213083052425645,24.670562131810584,2,26.690876415123057,2,1.0,4,27
33.33661566944647,5,Null,135,45,1.4189401631228975,39.397764199311496,2,41.41816097457195,2,1.0,1,27
48.16401062145451,5,Binary,25,9,0.5585282679967349,54.0918019380988,2,56.11207845843455,2,1.0,1,27
62.35704324170365,5,Quaternary,87,29,,68.35153057992284,2,70.37183973040374,2,0.0,999,27
76.80053167578444,5,Ternary,38,13,1.0327979301437151,83.01204285857239,2,85.03231791238795,2,1.0,2,27
91.24396034902747,5,Null,126,42,1.019022508415219,97.55556725914356,2,99.576098954567,2,1.0,3,27
106.10483969850613,5,Binary,20,7,1.0912117603365914,111.99910005555284,2,114.01941287234511,2,1.0,2,27
127.71155476289276,5,Ternary,52,18,0.6315461056947242,133.6559518915892,2,135.67622401235712,2,1.0,4,27
142.58903955779533,5,Quaternary,104,35,1.24815213772672,148.33303075278673,2,150.3534414600217,2,0.0,4,27
157.21624782136496,5,Binary,32,11,0.8265031713890494,163.11050891166815,2,165.13082026194024,2,1.0,4,27
171.72648543849937,5,Null,112,38,1.505786950649053,177.72094931233732,2,179.7412243661529,2,1.0,2,27
186.27010296330263,5,Quaternary,106,36,0.6320469234633492,192.3313482837184,2,194.35164936832732,2,1.0,1,27
200.8471150610276,5,Ternary,51,17,1.6296212936213124,207.00852870167,2,209.0288591167482,2,1.0,3,27
215.7914945914381,5,Binary,14,5,0.5980122130567906,221.95291116512817,2,223.9732929085294,2,1.0,1,27
230.30164678357687,5,Null,109,37,0.6414462391112465,236.17918620647836,2,238.19960901253216,2,1.0,1,27
251.4909969633518,5,Binary,5,2,0.9871113240078556,257.75260972123215,2,259.77291483877343,2,1.0,2,27
266.15149640992604,5,Ternary,60,20,1.5065913387807086,272.145923254051,2,274.16636915785057,2,1.0,3,27
280.89550300341216,5,Null,137,46,0.6534519336273661,287.05682205329504,2,289.0772331271655,2,1.0,3,27
295.4391018300521,5,Quaternary,92,31,0.7706003960265662,301.6673849086801,2,303.6876430974735,2,1.0,1,27
310.13302554663096,5,Null,136,46,0.8856033345728065,316.3611363087475,2,318.3815470159825,2,1.0,2,27
324.7767406319181,5,Binary,33,11,0.6429138624880579,330.92156019269896,2,332.9418843750464,2,1.0,1,27
339.13678241316666,5,Ternary,40,14,,345.18132329782384,2,347.20168340999953,2,0.0,999,27
353.1627871742385,5,Quaternary,84,28,1.3513521286295145,359.0236423260794,2,361.0439573426556,2,0.0,2,27
374.4689837125843,5,Ternary,63,21,0.9236878495867132,380.41333207936987,2,382.4336020003466,2,0.0,4,27
388.97907467736513,5,Quaternary,93,31,0.7398092689327314,394.7899356769704,2,396.810296889038,2,1.0,2,27
402.804753796896,5,Null,134,45,1.2343378531295457,408.7491454261253,2,410.76945384334977,2,1.0,4,27
417.16473801710526,5,Quaternary,82,28,0.8845008755452,423.4597523138728,2,425.4801575216479,2,1.0,3,27
432.0590449362717,5,Binary,11,4,0.766541425648029,437.88640065877553,2,439.92345127473527,2,1.0,1,27
446.2518330137318,5,Ternary,46,16,0.4520260328354197,452.0126580651777,2,454.0496104240592,2,1.0,4,27
460.3113254719501,5,Null,121,41,0.5989727859341656,466.48939515307575,2,468.50987955311575,2,1.0,1,27
